normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
统计学类（统计学、 应用统计学）、软件工程、网络工程,岗位标签,title_or_tag,6,6,government:6,job_b275d1ab9b1820cd9990;job_86894bd6e72e4363c4c0;job_ff0c8021dc477953a3b9,承德调查队综合科室一级科员（1） | 承德调查队综合科室一级科员（2） | 秦皇岛调查队综合科室一级科员（1）,统计学类（统计学、 应用统计学）、软件工程、网络工程 | 统计学类（统计学、 应用统计学）、软件工程、网络工程 | 统计学类（统计学、 应用统计学）、软件工程、网络工程
综合处室一级主任科员及以下,岗位标签,title_or_tag,6,6,government:6,job_323342f980c7a8e60167;job_63b1f84b873ccd1041ae;job_33acdfcf569b59b2f06c,综合处室一级主任科员及以下 | 综合处室一级主任科员及以下 | 综合处室一级主任科员及以下,综合处室一级主任科员及以下 | 综合处室一级主任科员及以下 | 综合处室一级主任科员及以下
蚌埠铁路公安处基层所队民警,岗位标签,title_or_tag,6,6,government:6,job_f154b80c16d4b226bd39;job_d20c3a2bfea0a5822ac2;job_4acc15cf78e459b2e5e3,蚌埠铁路公安处基层所队民警 | 蚌埠铁路公安处基层所队民警 | 蚌埠铁路公安处基层所队民警,蚌埠铁路公安处基层所队民警 | 蚌埠铁路公安处基层所队民警 | 蚌埠铁路公安处基层所队民警
计算机科学与技术、软件工程、网络工程、统计学类（统计学、 应用统计学）,岗位标签,title_or_tag,6,6,government:6,job_f2ed4a0d37a2ced742a7;job_67fb99634b830bf671e6;job_0380de7ba209876e8a26,张北调查队一级科员 | 沽源调查队一级科员 | 蔚县调查队一级科员,计算机科学与技术、软件工程、网络工程、统计学类（统计学、 应用统计学） | 计算机科学与技术、软件工程、网络工程、统计学类（统计学、 应用统计学） | 计算机科学与技术、软件工程、网络工程、统计学类（统计学、 应用统计学）
计算机类、电子信息类、数学类、统计学类、自动化类,岗位标签,title_or_tag,6,6,government:6,job_9bb2a4f19873b9242485;job_0d1821d0f6ee53a6e425;job_15a8385d3c785e9e3998,一级行政执法员（五） | 一级行政执法员（六） | 一级行政执法员（七）,计算机类、电子信息类、数学类、统计学类、自动化类 | 计算机类、电子信息类、数学类、统计学类、自动化类 | 计算机类、电子信息类、数学类、统计学类、自动化类
计算机类、电子信息类、材料类、建筑类,岗位标签,title_or_tag,6,6,government:6,job_556c619a85292c1b209f;job_d76c5b7e670dbe971091;job_4437991eaedfae4ef8b2,一级行政执法员（七） | 一级行政执法员（八） | 一级行政执法员（五）,计算机类、电子信息类、材料类、建筑类 | 计算机类、电子信息类、材料类、建筑类 | 计算机类、电子信息类、材料类、建筑类
语言学及应用语言学专业,自动短语,auto_phrase,6,6,government:6,job_f392426f1e02a8ec290b;job_57f9dc1e1792f96a6c10;job_3a79e021739a127c37f6,驻马店调查队业务科室四级主任科员及以下 | 办公室一级主任科员及以下 | 办公室一级主任科员及以下,公务员/事业单位；本科或硕士研究生；与最高学历相对应的学位；本科：统计学类（不含生物统计学）、数学类（不含数理基础科学)，汉语言文学专业；研究生：统计学、应用统计、数学，语言学及应用语言学专业、中国现当代文学专业、汉语言文字学专业；市（地）级及以下直属机构综合管理类 | 公务员/事业单位；硕士研究生及以上；与最高学历相对应的学位；气象类；语言学及应用语言学专业、中国现当代文学专业、秘书学专业；中央机关及其省级直属机构综合管理类 | 公务员/事业单位；硕士研究生及以上；与最高学历相对应的学位；气象类；语言学及应用语言学专业、中国现当代文学专业、秘书学专业；市（地）级及以下直属机构综合管理类
财务会计教育专业,自动短语,auto_phrase,6,6,government:6,job_27ab8636a9480928e973;job_41e9e6b681d4ec5a03f5;job_4cdc79f1e93a9576e252,监管部门一级主任科员及以下 | 监管部门一级主任科员及以下 | 监管部门一级主任科员及以下,公务员/事业单位；仅限本科；学士；会计学、财务管理、审计学、资产评估、财务会计教育专业；市（地）级及以下直属机构综合管理类 | 公务员/事业单位；仅限本科；学士；会计学、财务管理、审计学、资产评估、财务会计教育专业；市（地）级及以下直属机构综合管理类 | 公务员/事业单位；仅限本科；学士；会计学、财务管理、审计学、资产评估、财务会计教育专业；市（地）级及以下直属机构综合管理类
财务科一级主任科员及以下,岗位标签,title_or_tag,6,6,government:6,job_e8c46504bba9df6f00ab;job_01a95021074df2a375b1;job_da2076229caaa3a7ff68,财务科一级主任科员及以下 | 财务科一级主任科员及以下 | 财务科一级主任科员及以下,财务科一级主任科员及以下 | 财务科一级主任科员及以下 | 财务科一级主任科员及以下
财政学类、财会审计类、管理科学与工程类,岗位标签,title_or_tag,6,6,government:6,job_6b7b3a9426f43a1736cd;job_4c7c23a11b3968838d1a;job_0b0f822b74923a356986,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（五）,财政学类、财会审计类、管理科学与工程类 | 财政学类、财会审计类、管理科学与工程类 | 财政学类、财会审计类、管理科学与工程类
