month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2025-10,政府信息系统开发岗,网络空间安全,网络与安全,4,2,0.5,22,9,0.409091,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,自动化,智能化技术,4,1,0.25,22,11,0.5,稳定核心技能,1,11,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,计算机科学与技术,计算机基础,4,3,0.75,22,19,0.863636,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,软件工程,软件工程,4,3,0.75,22,20,0.909091,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2025-10,政府信息系统开发岗,通信工程,通信与电子技术,4,3,0.75,22,18,0.818182,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,人工智能,智能化技术,109,2,0.018349,109,2,0.018349,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,信息安全,网络与安全,109,19,0.174312,109,19,0.174312,当月活跃技能,0,6,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,信息系统,政务信息化,109,100,0.917431,109,100,0.917431,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,数据科学与大数据技术,数据与统计,109,2,0.018349,109,2,0.018349,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,物联网工程,智能化技术,109,17,0.155963,109,17,0.155963,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,电子信息,通信与电子技术,109,12,0.110092,109,12,0.110092,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,电子信息工程,通信与电子技术,109,12,0.110092,109,12,0.110092,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,系统运维,网络与基础设施,109,107,0.981651,109,107,0.981651,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,统计学,数据与统计,109,1,0.009174,109,1,0.009174,当月活跃技能,0,15,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,网络工程,网络与基础设施,109,24,0.220183,109,24,0.220183,当月活跃技能,0,5,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,网络空间安全,网络与安全,109,5,0.045872,109,5,0.045872,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,自动化,智能化技术,109,12,0.110092,109,12,0.110092,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,计算机科学与技术,计算机基础,109,90,0.825688,109,90,0.825688,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,软件工程,软件工程,109,36,0.330275,109,36,0.330275,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2023-10,政府信息系统运维岗,通信工程,通信与电子技术,109,18,0.165138,109,18,0.165138,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,人工智能,智能化技术,246,1,0.004065,355,3,0.008451,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,信息安全,网络与安全,246,94,0.382114,355,113,0.31831,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,信息系统,政务信息化,246,243,0.987805,355,343,0.966197,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,数据科学与大数据技术,数据与统计,246,41,0.166667,355,43,0.121127,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,物联网工程,智能化技术,246,34,0.138211,355,51,0.143662,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,电子信息,通信与电子技术,246,57,0.231707,355,69,0.194366,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,电子信息工程,通信与电子技术,246,4,0.01626,355,16,0.04507,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,系统运维,网络与基础设施,246,245,0.995935,355,352,0.991549,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,统计学,数据与统计,246,0,0.0,355,1,0.002817,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,网络工程,网络与基础设施,246,80,0.325203,355,104,0.292958,稳定核心技能,1,7,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,网络空间安全,网络与安全,246,89,0.361789,355,94,0.264789,稳定核心技能,1,6,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,自动化,智能化技术,246,1,0.004065,355,13,0.03662,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,计算机科学与技术,计算机基础,246,245,0.995935,355,335,0.943662,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2024-10,政府信息系统运维岗,软件工程,软件工程,246,155,0.630081,355,191,0.538028,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
